Fecha,Evento,Primera
25/4/2020,Extensión Cuarentena,S
25/4/2020,Motín  Devoto,S
25/4/2020,Renuncia Moro (BR),S
25/4/2020,Mercosur,S
25/4/2020,Record Infectados,S
25/4/2020,Expaña Flexibilización,S
26/4/2020,AMBA Flexibilización 500m,S
27/4/2020,AMBA Flexibilización 500m,
27/4/2020,Expaña Flexibilización,
28/4/2020,Prisiones domiciliarias,S
29/4/2020,Prisiones domiciliarias,
29/4/2020,Argentinos Barados,S
30/4/2020,Motín  Devoto,
30/4/2020,Renuncia Vanoli,S
1/5/2020,Día del Trabajador,S
2/5/2020,CABA Barbijo Obligatorio,S
3/5/2020,Prisiones domiciliarias,
4/5/2020,Prisiones domiciliarias,
4/5/2020,Cacerolazo Prisiones domiciliarias,S
4/5/2020,Prisiones domiciliarias,
5/5/2020,Muere Tom Lupo,S
5/5/2020,Prisiones domiciliarias,
5/5/2020,Deuda: Bonistas Rechazan Oferta,S
5/5/2020,Villa 31 Falta Agua,S
5/5/2020,Italia Flexiblización,S
5/5/2020,Brasil Record Muertos,S
5/5/2020,CABA Cuarentena relajada de hecho,S
6/5/2020,Prisiones domiciliarias,
6/5/2020,Dolar blue 120,S
7/5/2020,CABA Suspenden calificaciones en escuelas,S
8/5/2020,Extensión Cuarentena,S
8/5/2020,CABA Salida chicos ,S
8/5/2020,GBA Reapertura Fábricas,S
8/5/2020,CABA Contagios Geriatrico Recoleta,S
8/5/2020,Record contagios,S
9/5/2020,Deuda: Bonistas Rechazan Oferta,S
9/5/2020,CuidAR,S
10/5/2020,Muertos Acumulados 300,S
10/5/2020,Deuda: Guzman negocia,S
11/5/2020,GBA Intendentes piden flexibilizar comercios / obra,S
11/5/2020,CABA Flexibilizan comercios,S
11/5/2020,CuidAR,
11/5/2020,Polémica con Suecia,S
12/5/2020,Prisiones domiciliaria - Marcha atrás,S
12/5/2020,Dolar blue 125,S
12/5/2020,Deuda GBA:  Canje deuda fracasó,S
12/5/2020,Control contagios 1-11-14,S
13/5/2020,GBA Contagios Geriatricos San martin,S
13/5/2020,Cafiero Super poderes,S
13/5/2020,Sesiones virtuales congreso,S
14/5/2020,Dolar blue 133,S
14/5/2020,Record Contagios 316,S
14/5/2020,Proyecto Reforma de la justicia,S
14/5/2020,UBA postergar clases presenciales,S
15/5/2020,Kicillof default provincia,S
15/5/2020,Record muertes 24,S
15/5/2020,BR: Bolsonaro - ARgentina camino al socialismo,S
15/5/2020,Escribano asesino,S